symbol,policy,allow_open,allow_reopen,allow_double_down,allow_sell,reason,evidence_source,review_after,updated_at
AACB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7242 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ACGL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.7837 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ACP,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.5178 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ACT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.2241 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ADC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.4059 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ADX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.4504 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AEAQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.0989 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AEE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.7857 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AEG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8322 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AEP,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.6522 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AES,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.3659 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AEXA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.2534 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AFB,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.1481 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AFBI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.2718 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AFG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.5744 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AFL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.4522 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AGM.A,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8169 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AGO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9989 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AIIA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.1840 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ALDF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6196 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ALF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.8236 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ALIS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7397 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ALL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8345 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ALUB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.8962 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ANSC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7255 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AOD,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.9835 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
APAC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6010 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
APD,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8735 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
APXT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7304 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ARCC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.7126 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ARDC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.6857 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ARI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.4147 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ARTNA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.7171 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ASG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.9959 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ATII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.4649 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ATLO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7231 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ATO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.1441 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AVA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.4374 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AVB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.6877 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AVK,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.5454 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AWF,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.5418 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AWK,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.4202 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AWP,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.7995 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AWR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.8179 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AXIN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9490 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
AXS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.5900 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BACC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.2801 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BANX,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.2761 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BAYA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.8954 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BBCQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.7465 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BBN,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.0011 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8116 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.3061 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.5919 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.8155 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCSS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9143 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BDCI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6668 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BDJ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3765 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BEAG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.5594 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BFS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.3193 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BFST,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.6969 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.4367 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGH,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.5075 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.3929 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGX,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.0572 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.5961 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
